mandt,spras,anlkl,txk20,txk50,txt50,txa50,xltxid,operation_flag,is_deleted,recordstamp
100,D,00005000,GWG,Geringwertige Wirtschaftsgüter,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00002000,Machinery,Machinery,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00001000,Grundstuecke,"Grundstuecke, grundstuecksgleiche Rechte",,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00003200,EDV / Hardware,EDV / Hardware,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00007000,Formation expense,Formation expense,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00004001,Investment measure,AuC as investment measure,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00004000,Assets under const.,Assets under construction,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00003000,Fixtures & fittings,Fixtures and fittings,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00003000,Betr.-und Geschäfts.,Betriebs- und Geschäftsausstattung,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00005000,LVA,Low-value assets,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00003100,Fuhrpark,Fuhrpark,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00001100,Gebäude,Gebäude,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00008200,Goodwill,Goodwill,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00008200,Goodwill,Goodwill,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00003100,Vehicles,Vehicles,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00001100,Buildings,Buildings,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00002000,Maschinen,Maschinen,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00001000,Real estate,Real estate and similar rights,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00008000,Kunstobjekte,Kunstobjekte,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00003200,DP / Hardware,DP / Hardware,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00004000,Anlagen im Bau,Anlagen im Bau,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00008000,Objects of art,Objects of art,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00006000,Leasing (Oper.),Geleaste Anlagen (Operational Lease),,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00006000,Leasing (oper.),Leased assets (operating lease),,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00008100,Vorauszahlungen,Vorauszahlungen,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00008100,Advance payments,Advance payments,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00007000,Gründungsaufwand,Gründungsaufwand,,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00006100,Leasing (Capital),Geleaste Anlagen (Capital Lease),,,,I,False,2022-04-21 14:40:42.650360+00:00
100,E,00006100,Leasing (capital),Leased assets (capital lease),,,,I,False,2022-04-21 14:40:42.650360+00:00
100,D,00004001,Investitionsmaßnahme,AiB als Investitionsmaßnahme,,,,I,False,2022-04-21 14:40:42.650360+00:00
000,D,00005000,GWG,Geringwertige Wirtschaftsgüter,,,,L,False,2022-01-31 20:41:43.517301+00:00
001,D,00005000,GWG,Geringwertige Wirtschaftsgüter,,,,L,False,2022-01-31 20:41:43.517301+00:00
050,D,00005000,GWG,Geringwertige Wirtschaftsgüter,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,D,00005000,GWG,Geringwertige Wirtschaftsgüter,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,D,00005000,GWG,Geringwertige Wirtschaftsgüter,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,D,00005000,GWG,Geringwertige Wirtschaftsgüter,,,,L,False,2022-01-31 20:41:43.517301+00:00
000,E,00002000,Machinery,Machinery,,,,L,False,2022-01-31 20:41:43.517301+00:00
001,E,00002000,Machinery,Machinery,,,,L,False,2022-01-31 20:41:43.517301+00:00
050,E,00002000,Machinery,Machinery,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,E,00002000,Machinery,Machinery,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,E,00002000,Machinery,Machinery,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,E,00002000,Machinery,Machinery,,,,L,False,2022-01-31 20:41:43.517301+00:00
000,D,00001000,Grundstuecke,"Grundstuecke, grundstuecksgleiche Rechte",,,,L,False,2022-01-31 20:41:43.517301+00:00
001,D,00001000,Grundstuecke,"Grundstuecke, grundstuecksgleiche Rechte",,,,L,False,2022-01-31 20:41:43.517301+00:00
050,D,00001000,Grundstuecke,"Grundstuecke, grundstuecksgleiche Rechte",,,,L,False,2022-01-31 20:41:43.517301+00:00
100,D,00001000,Grundstuecke,"Grundstuecke, grundstuecksgleiche Rechte",,,,L,False,2022-01-31 20:41:43.517301+00:00
200,D,00001000,Grundstuecke,"Grundstuecke, grundstuecksgleiche Rechte",,,,L,False,2022-01-31 20:41:43.517301+00:00
250,D,00001000,Grundstuecke,"Grundstuecke, grundstuecksgleiche Rechte",,,,L,False,2022-01-31 20:41:43.517301+00:00
000,D,00003200,EDV / Hardware,EDV / Hardware,,,,L,False,2022-01-31 20:41:43.517301+00:00
001,D,00003200,EDV / Hardware,EDV / Hardware,,,,L,False,2022-01-31 20:41:43.517301+00:00
050,D,00003200,EDV / Hardware,EDV / Hardware,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,D,00003200,EDV / Hardware,EDV / Hardware,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,D,00003200,EDV / Hardware,EDV / Hardware,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,D,00003200,EDV / Hardware,EDV / Hardware,,,,L,False,2022-01-31 20:41:43.517301+00:00
000,E,00007000,Formation expense,Formation expense,,,,L,False,2022-01-31 20:41:43.517301+00:00
001,E,00007000,Formation expense,Formation expense,,,,L,False,2022-01-31 20:41:43.517301+00:00
050,E,00007000,Formation expense,Formation expense,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,E,00007000,Formation expense,Formation expense,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,E,00007000,Formation expense,Formation expense,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,E,00007000,Formation expense,Formation expense,,,,L,False,2022-01-31 20:41:43.517301+00:00
000,E,00004001,Investment measure,AuC as investment measure,,,,L,False,2022-01-31 20:41:43.517301+00:00
001,E,00004001,Investment measure,AuC as investment measure,,,,L,False,2022-01-31 20:41:43.517301+00:00
050,E,00004001,Investment measure,AuC as investment measure,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,E,00004001,Investment measure,AuC as investment measure,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,E,00004001,Investment measure,AuC as investment measure,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,E,00004001,Investment measure,AuC as investment measure,,,,L,False,2022-01-31 20:41:43.517301+00:00
000,E,00004000,Assets under const.,Assets under construction,,,,L,False,2022-01-31 20:41:43.517301+00:00
001,E,00004000,Assets under const.,Assets under construction,,,,L,False,2022-01-31 20:41:43.517301+00:00
050,E,00004000,Assets under const.,Assets under construction,,,,L,False,2022-01-31 20:41:43.517301+00:00
100,E,00004000,Assets under const.,Assets under construction,,,,L,False,2022-01-31 20:41:43.517301+00:00
200,E,00004000,Assets under const.,Assets under construction,,,,L,False,2022-01-31 20:41:43.517301+00:00
250,E,00004000,Assets under const.,Assets under construction,,,,L,False,2022-01-31 20:41:43.517301+00:00
000,E,00003000,Fixtures & fittings,Fixtures and fittings,,,,L,False,2022-01-31 20:41:43.517301+00:00
001,E,00003000,Fixtures & fittings,Fixtures and fittings,,,,L,False,2022-01-31 20:41:43.517301+00:00
