mandt,bukrs,anln1,anln2,anlkl,gegst,anlar,ernam,erdat,aenam,aedat,xloev,xspeb,felei,ktogr,xopvw,anltp,zujhr,zuper,zugdt,aktiv,abgdt,deakt,gplab,bstdt,ord41,ord42,ord43,ord44,anlue,zuawa,aneqk,aneqs,lifnr,land1,liefe,herst,eigkz,aibn1,aibn2,aibdt,urjhr,urwrt,antei,projn,eaufn,meins,menge,typbz,izwek,inken,ivdat,invzu,vmgli,xvrmw,wrtma,ehwrt,aufla,ehwzu,ehwnr,gruvo,grein,grbnd,grblt,grlfd,flurk,flurn,fiamt,stadt,grund,feins,grufl,invnr,vbund,spras,txt50,txa50,xltxid,xverid,xtchid,xkalid,xherid,xleaid,leafi,lvdat,lkdat,leabg,lejar,leper,lryth,legeb,lbasw,lkauf,lmzin,lzins,ltzbw,lkuza,lkuzi,llavb,leanz,lvtnr,letxt,xaktiv,anupd,lblnr,xv0dt,xv0nm,xv1dt,xv1nm,xv2dt,xv2nm,xv3dt,xv3nm,xv4dt,xv4nm,xv5dt,xv5nm,xv6dt,xv6nm,aimmo,objnr,leart,lvors,gdlgrp,posnr,xerwrt,xafabch,xanlgr,mcoa1,xinvm,sernr,umwkz,lrvdat,act_change_pm,has_tddp,last_reorg_date,internal_code,approval_number,approval_version,bogus_anln1,asset_version,operation_flag,is_deleted,recordstamp
800,0005,000011000000,0001,L1150,,,C5243902,2016-12-01,,,,,1000,00010020,,0,0000,000,,,,,,,,,,,,,0,0,,,,,1,,,,0000,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Errichtung eines Zwischenlagers,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2016-12-01,C5243902,,,,,,,,,,,1,,,,,00000000,,Y,,ERRICHTUNG EINES ZWISCHENLAGER,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,0005,000011000000,0002,L1150,,,C5243902,2016-12-01,,,,,1000,00010020,,0,0000,000,,,,,,,,,,,,,0,0,,,,,1,,,,0000,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Errichtung eines Zwischenlagers,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2016-12-01,C5243902,,,,,,,,,,,1,,,,,00000000,,Y,,ERRICHTUNG EINES ZWISCHENLAGER,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000001139,0000,00001000,,,D044055,2006-10-27,,,,,1000,00010000,,0,0000,000,,2005-10-31,,,,,,,,,,,0,0,,,,,1,,,,0000,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Land Garage Campus 1,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-10-27,D044055,,,,,,,,,,,1,,,,,00000000,,Y,,LAND GARAGE CAMPUS 1,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000001140,0000,00001000,,,D044055,2006-10-27,,,,,1000,00010000,,0,0000,000,,2005-01-01,,,,,,,,,,,0,0,,,,,1,,,,0000,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Land Office Building Campus_1,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-10-27,D044055,,,,,,,,,,,1,,,,,00000000,,Y,,LAND OFFICE BUILDING CAMPUS_1,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000001153,0000,00001000,,,I841222,2015-12-22,,,,,1000,00010000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,1,,,,0000,,,,,,,,,,,,DE21,,,,,,,,,,,,,,,,,M2,,,,E,Insert Description,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2015-12-22,I841222,,,,,,,,,,,1,,,,,00000000,,Y,,INSERT DESCRIPTION,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000001151,0000,00001100,,,I065656,2012-10-22,,,,,1100,00010000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Building asset-SAP,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2012-10-22,I065656,,,,,,,,,,,1,,,,,00000000,,Y,,BUILDING ASSET-SAP,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,1000,000000001152,0000,00001100,,,I065656,2012-10-22,,,,,1100,00010000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Building asset-SAP,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2012-10-22,I065656,,,,,,,,,,,1,,,,,00000000,,Y,,BUILDING ASSET-SAP,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000001136,0000,00001100,,,I013793,2006-09-22,,,,,1100,00010000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,gas control station,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-09-22,I013793,,,,,,,,,,,1,,,,,00000000,,Y,,GAS CONTROL STATION,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,3000,000000001141,0000,00001100,,,D044055,2006-10-27,,,,,1100,00010000,,0,0000,000,,2006-01-01,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Building 1 Campus 1,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-10-27,D044055,,,,,,,,,,,1,,,,,00000000,,Y,,BUILDING 1 CAMPUS 1,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
800,SL01,000000002000,0000,00002000,,,D000145,2006-07-07,,,,,2000,00020000,,0,0000,000,,,,,,,,,,,,,0,0,,,,,,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,Container Dry 20  - own -,,,,,,,,,,,,000,000,000,,,,,,,,,,,,,,,,,,2006-07-07,D000145,,,,,,,,,,,0,,,,,00000000,,Y,,CONTAINER DRY 20  - OWN -,,,,,,,,,,,,,L,False,2021-08-10 21:18:43.606788+00:00
