client,partner,addrnumber,xdfadr,adext,nation,guid,move_addr,date_from,address_guid,addr_valid_from,addr_valid_to,addr_move_date,operation_flag,is_deleted,recordstamp
050,0000000001,0000023135,,,,,,0001-01-01,42010A80000F1EDCA7D5762A7EA2252B,20220307000000.000000000,99991231235959.000000000,,I,False,2022-03-08 06:48:01.729543+00:00
100,0000000001,0000023135,,,,,,0001-01-01,42010A80000F1EDCA7D5762A7EA2252B,20220307000000.000000000,99991231235959.000000000,,I,False,2022-04-21 14:41:45.303580+00:00
800,KER1,0000733769,,,,,,0001-01-01,,20210504000000.000000000,99991231235959.000000000,,I,False,2021-05-04 16:01:22.870935+00:00
800,SNEH201735,0000733742,,,,,,0001-01-01,,20210414000000.000000000,99991231235959.000000000,,I,False,2021-04-14 20:17:49.392091+00:00
800,TOBKINSA,0000733834,,,,,,0001-01-01,,20220328000000.000000000,99991231235959.000000000,,I,False,2022-04-14 05:00:21.635667+00:00
800,AXELROSE,0000733774,,,,,,0001-01-01,,20210506000000.000000000,99991231235959.000000000,,I,False,2021-05-06 14:05:54.568357+00:00
800,VODA,0000733780,,,,,,0001-01-01,,20210506000000.000000000,99991231235959.000000000,,I,False,2021-05-06 15:22:58.908540+00:00
800,SIEMENS,0000733777,,,,,,0001-01-01,,20210506000000.000000000,99991231235959.000000000,,I,False,2021-05-06 14:27:20.883460+00:00
800,JOAN042148,0000733793,,,,,,0001-01-01,,20210608000000.000000000,99991231235959.000000000,,I,False,2021-06-08 04:21:50.060213+00:00
800,JOAN142028,0000733796,,,,,,0001-01-01,,20210608000000.000000000,99991231235959.000000000,,I,False,2021-06-08 14:20:30.452270+00:00
800,JOAN040229,0000733790,,,,,,0001-01-01,,20210608000000.000000000,99991231235959.000000000,,I,False,2021-06-08 04:02:32.532574+00:00
800,ALIS032817,0000733704,,,,,,0001-01-01,,20210412000000.000000000,99991231235959.000000000,,I,False,2021-04-12 03:28:21.119262+00:00
800,SNEH033544,0000733710,,,,,,0001-01-01,,20210412000000.000000000,99991231235959.000000000,,I,False,2021-04-12 03:35:45.195495+00:00
800,SNEH033323,0000733707,,,,,,0001-01-01,,20210412000000.000000000,99991231235959.000000000,,I,False,2021-04-12 03:33:24.081500+00:00
800,SNEH033902,0000733713,,,,,,0001-01-01,,20210412000000.000000000,99991231235959.000000000,,I,False,2021-04-12 03:39:02.975642+00:00
800,SNEH034810,0000733716,,,,,,0001-01-01,,20210412000000.000000000,99991231235959.000000000,,I,False,2021-04-12 03:48:11.576903+00:00
800,ALIS035735,0000733719,,,,,,0001-01-01,,20210412000000.000000000,99991231235959.000000000,,I,False,2021-04-12 03:57:36.480059+00:00
800,RIZ,0000733813,,,,,,0001-01-01,,20210701000000.000000000,99991231235959.000000000,,I,False,2021-07-01 21:51:27.537966+00:00
800,SNEH030835,0000733751,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 03:08:37.301666+00:00
800,SNEH024754,0000733748,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 02:47:56.644951+00:00
800,SNEH002726,0000733745,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 00:27:28.756999+00:00
800,SNEH152638,0000733757,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 15:26:40.152530+00:00
800,SNEH183839,0000733763,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 18:38:42.314420+00:00
800,SNEH202658,0000733766,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 20:27:01.524938+00:00
800,SNEH032640,0000733754,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 03:26:42.643907+00:00
800,SNEH155856,0000733760,,,,,,0001-01-01,,20210415000000.000000000,99991231235959.000000000,,I,False,2021-04-15 15:58:58.335788+00:00
800,JOAN142453,0000733802,,,,,,0001-01-01,,20210619000000.000000000,99991231235959.000000000,,I,False,2021-06-19 14:25:06.104861+00:00
800,LUCIA,0000733807,,,,,,0001-01-01,,20210623000000.000000000,99991231235959.000000000,,I,False,2021-06-23 21:26:45.084009+00:00
800,WOOLIE,0000733810,,,,,,0001-01-01,,20210623000000.000000000,99991231235959.000000000,,I,False,2021-06-23 22:55:40.403728+00:00
800,LUCIA_UNI,0000733818,,,,,,0001-01-01,,20210805000000.000000000,99991231235959.000000000,,I,False,2021-08-05 18:56:45.670304+00:00
800,THD1,0000733731,,,,,,0001-01-01,,20210413000000.000000000,99991231235959.000000000,,I,False,2021-04-13 16:31:41.596840+00:00
800,SNEH013437,0000733725,,,,,,0001-01-01,,20210413000000.000000000,99991231235959.000000000,,I,False,2021-04-13 01:34:38.747964+00:00
800,SNEH015354,0000733728,,,,,,0001-01-01,,20210413000000.000000000,99991231235959.000000000,,I,False,2021-04-13 01:53:56.891112+00:00
800,THD2,0000733734,,,,,,0001-01-01,,20210413000000.000000000,99991231235959.000000000,,I,False,2021-04-13 16:45:54.827795+00:00
800,3000000052,0000045739,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,0000000161,0000043694,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,0000000187,0000043919,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,0000000034,0000038243,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,3000000061,0000045770,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,0000000033,0000038238,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,0000000032,0000038235,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,3000000069,0000045786,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,0000000221,0000045197,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
800,0000300011,0000045450,,,,,,0001-01-01,,10101000000.000000000,99991231235959.000000000,,I,False,2021-04-03 07:06:33.767111+00:00
