mandt,prctr,datbi,kokrs,datab,ersda,usnam,merkmal,abtei,verak,verak_user,waers,nprctr,land1,anred,name1,name2,name3,name4,ort01,ort02,stras,pfach,pstlz,pstl2,spras,telbx,telf1,telf2,telfx,teltx,telx1,datlt,drnam,khinr,bukrs,vname,recid,etype,txjcd,regio,kvewe,kappl,kalsm,logsystem,lock_ind,pca_template,segment,operation_flag,is_deleted,recordstamp
050,P0001-3,9999-12-31,0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-07 09:10:12.008693+00:00
050,US01TSPF05,9999-12-31,C001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-20 10:49:46.215555+00:00
050,US01TSPF06,9999-12-31,C001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,True,2022-03-20 10:50:22.889932+00:00
050,C999,9999-12-31,C001,1950-01-01,2022-01-03,APARAMESWARA,,,XXX,,,,,,,,,,,,,,,,,,,,,,,,,C001D,,,,,,,,,,,,,,I,False,2022-02-15 12:02:27.298638+00:00
100,C999,9999-12-31,C001,1950-01-01,2022-01-03,APARAMESWARA,,,XXX,,,,,,,,,,,,,,,,,,,,,,,,,C001D,,,,,,,,,,,,,,I,False,2022-04-21 14:42:31.126446+00:00
050,C999,9999-12-31,C001,1950-01-01,2022-01-03,APARAMESWARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,C001D,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
000,RECO-DUMMY,9999-12-31,RECO,1950-01-01,2005-05-12,SAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0001,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
001,RECO-DUMMY,9999-12-31,RECO,1950-01-01,2005-05-12,SAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0001,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
000,SAP-DUMMY,9999-12-31,0001,1950-01-01,2002-01-15,SAP,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,,P0001-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
000,SAP-DUMMY,9999-12-31,KR01,1950-01-01,2002-01-15,SAP,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,,PKR01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
