mandt,spras,prctr,datbi,kokrs,ktext,ltext,mctxt,operation_flag,is_deleted,recordstamp
100,E,US01ADMIN,9999-12-31,C001,Admin,Profit center-Administration,ADMIN,I,False,2022-04-21 14:42:31.483479+00:00
050,E,US01FIN,9999-12-31,C001,FINANCE,Profit center-Finance and Accounts,FINANCE,I,False,2022-02-01 11:45:31.784302+00:00
100,E,US01FIN,9999-12-31,C001,FINANCE,Profit center-Finance and Accounts,FINANCE,I,False,2022-04-21 14:42:31.483479+00:00
050,E,CA01ELHC04,9999-12-31,C001,L-Tower,L-Tower,L-TOWER,I,False,2022-03-29 15:54:20.409059+00:00
050,E,US01ELHC04,9999-12-31,C001,L-Tower,L-Tower,L-TOWER,I,False,2022-03-29 16:07:34.801601+00:00
050,E,US02ELHC04,9999-12-31,C001,L-Tower,L-Tower,L-TOWER,I,False,2022-03-29 16:15:37.999902+00:00
100,E,CA01ELHC04,9999-12-31,C001,L-Tower,L-Tower,L-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC04,9999-12-31,C001,L-Tower,L-Tower,L-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC04,9999-12-31,C001,L-Tower,L-Tower,L-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
050,E,AP01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-03-29 15:48:30.430987+00:00
050,E,CA01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-03-29 15:51:54.974423+00:00
050,E,EU01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-03-29 16:00:11.065318+00:00
050,E,US01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-03-29 16:03:16.029282+00:00
050,E,US02ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-03-29 16:18:36.358089+00:00
100,E,AP01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC01,9999-12-31,C001,W-Tower,W-Tower,W-TOWER,I,False,2022-04-21 14:42:31.483479+00:00
050,E,US01PGPC01,9999-12-31,C001,Handwash,Handwash,HANDWASH,I,False,2022-02-01 11:16:15.077567+00:00
050,E,US02PGPC01,9999-12-31,C001,Handwash,Handwash,HANDWASH,I,False,2022-02-01 12:06:39.345460+00:00
100,E,US01PGPC01,9999-12-31,C001,Handwash,Handwash,HANDWASH,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02PGPC01,9999-12-31,C001,Handwash,Handwash,HANDWASH,I,False,2022-04-21 14:42:31.483479+00:00
050,E,CA01ELHC10,9999-12-31,C001,L-Gaming,L-Gaming,L-GAMING,I,False,2022-03-29 15:58:44.230721+00:00
050,E,US01ELHC10,9999-12-31,C001,L-Gaming,L-Gaming,L-GAMING,I,False,2022-03-29 16:05:16.641071+00:00
050,E,US02ELHC10,9999-12-31,C001,L-Gaming,L-Gaming,L-GAMING,I,False,2022-03-29 16:13:36.562955+00:00
100,E,CA01ELHC10,9999-12-31,C001,L-Gaming,L-Gaming,L-GAMING,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC10,9999-12-31,C001,L-Gaming,L-Gaming,L-GAMING,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC10,9999-12-31,C001,L-Gaming,L-Gaming,L-GAMING,I,False,2022-04-21 14:42:31.483479+00:00
050,E,CA01ELHC06,9999-12-31,C001,L-Nettop,L-Nettop,L-NETTOP,I,False,2022-03-29 15:55:34.435746+00:00
050,E,US01ELHC06,9999-12-31,C001,L-Nettop,L-Nettop,L-NETTOP,I,False,2022-03-29 16:05:57.660823+00:00
050,E,US02ELHC06,9999-12-31,C001,L-Nettop,L-Nettop,L-NETTOP,I,False,2022-03-29 16:14:19.945271+00:00
100,E,CA01ELHC06,9999-12-31,C001,L-Nettop,L-Nettop,L-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHC06,9999-12-31,C001,L-Nettop,L-Nettop,L-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHC06,9999-12-31,C001,L-Nettop,L-Nettop,L-NETTOP,I,False,2022-04-21 14:42:31.483479+00:00
050,E,US01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-02-01 11:33:15.197093+00:00
050,E,CA01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-02-01 14:21:36.035484+00:00
100,E,AP01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US02ELHE01,9999-12-31,C001,LED-Flat,LED-Flat,LED-FLAT,I,False,2022-04-21 14:42:31.483479+00:00
050,E,US01PURCH,9999-12-31,C001,Purchase,Profit center-Purchase,PURCHASE,I,False,2022-02-01 11:44:45.427012+00:00
050,E,US01PURCH,9999-12-31,C001,Purchase,Profit center-Purchase,PURCHASE,I,False,2022-02-12 15:23:22.109866+00:00
100,E,US01PURCH,9999-12-31,C001,Purchase,Profit center-Purchase,PURCHASE,I,False,2022-04-21 14:42:31.483479+00:00
050,E,US01PGPC02,9999-12-31,C001,Soap-Bar,Soap-Bar,SOAP-BAR,I,False,2022-02-01 11:16:39.956735+00:00
050,E,US02PGPC02,9999-12-31,C001,Soap-Bar,Soap-Bar,SOAP-BAR,I,False,2022-02-01 12:07:00.931232+00:00
050,E,CA01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-Bar,SOAP-BAR,I,False,2022-02-01 13:45:01.714439+00:00
100,E,AP01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-Bar,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
100,E,CA01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-Bar,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
100,E,EU01PGPC02,9999-12-31,C001,Soap-Bar,Soap and Liquid Soap-BAR,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
100,E,US01PGPC02,9999-12-31,C001,Soap-Bar,Soap-Bar,SOAP-BAR,I,False,2022-04-21 14:42:31.483479+00:00
