spras,laspez,lahq,laiso,operation_flag,is_deleted,recordstamp
1,D,0,ZH,L,False,2022-01-31 20:43:37.747950+00:00
3,D,0,KO,L,False,2022-01-31 20:43:37.747950+00:00
M,D,0,ZF,L,False,2022-01-31 20:43:37.747950+00:00
J,D,2,JA,L,False,2022-01-31 20:43:37.747950+00:00
A,L,0,AR,L,False,2022-01-31 20:43:37.747950+00:00
B,L,0,HE,L,False,2022-01-31 20:43:37.747950+00:00
2,M,0,TH,L,False,2022-01-31 20:43:37.747950+00:00
0,S,0,SR,L,False,2022-01-31 20:43:37.747950+00:00
4,S,0,RO,L,False,2022-01-31 20:43:37.747950+00:00
5,S,0,SL,L,False,2022-01-31 20:43:37.747950+00:00
6,S,0,HR,L,False,2022-01-31 20:43:37.747950+00:00
8,S,0,UK,L,False,2022-01-31 20:43:37.747950+00:00
9,S,0,ET,L,False,2022-01-31 20:43:37.747950+00:00
G,S,0,EL,L,False,2022-01-31 20:43:37.747950+00:00
L,S,0,PL,L,False,2022-01-31 20:43:37.747950+00:00
Q,S,0,SK,L,False,2022-01-31 20:43:37.747950+00:00
T,S,0,TR,L,False,2022-01-31 20:43:37.747950+00:00
X,S,0,LT,L,False,2022-01-31 20:43:37.747950+00:00
Y,S,0,LV,L,False,2022-01-31 20:43:37.747950+00:00
Z,S,0,Z1,L,False,2022-01-31 20:43:37.747950+00:00
a,S,0,AF,L,False,2022-01-31 20:43:37.747950+00:00
b,S,0,IS,L,False,2022-01-31 20:43:37.747950+00:00
i,S,0,ID,L,False,2022-01-31 20:43:37.747950+00:00
묩,S,0,HI,L,False,2022-01-31 20:43:37.747950+00:00
뱋,S,0,KK,L,False,2022-01-31 20:43:37.747950+00:00
쁩,S,0,VI,L,False,2022-01-31 20:43:37.747950+00:00
D,S,1,DE,L,False,2022-01-31 20:43:37.747950+00:00
E,S,1,EN,L,False,2022-01-31 20:43:37.747950+00:00
F,S,2,FR,L,False,2022-01-31 20:43:37.747950+00:00
I,S,2,IT,L,False,2022-01-31 20:43:37.747950+00:00
N,S,2,NL,L,False,2022-01-31 20:43:37.747950+00:00
S,S,2,ES,L,False,2022-01-31 20:43:37.747950+00:00
K,S,3,DA,L,False,2022-01-31 20:43:37.747950+00:00
O,S,3,NO,L,False,2022-01-31 20:43:37.747950+00:00
R,S,3,RU,L,False,2022-01-31 20:43:37.747950+00:00
U,S,3,FI,L,False,2022-01-31 20:43:37.747950+00:00
V,S,3,SV,L,False,2022-01-31 20:43:37.747950+00:00
7,S,4,MS,L,False,2022-01-31 20:43:37.747950+00:00
C,S,4,CS,L,False,2022-01-31 20:43:37.747950+00:00
H,S,4,HU,L,False,2022-01-31 20:43:37.747950+00:00
P,S,4,PT,L,False,2022-01-31 20:43:37.747950+00:00
W,S,4,BG,L,False,2022-01-31 20:43:37.747950+00:00
c,S,4,CA,L,False,2022-01-31 20:43:37.747950+00:00
d,S,4,SH,L,False,2022-01-31 20:43:37.747950+00:00
