mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
000,AD,AND,,,,X,,S,,X,,,,AD,AND,020,,,,,,15,5,,,,1,,,,,,,,,,,,,,,,123,,043,,ANDORR,,,3,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,AD,AND,,,,X,,S,,X,,,,AD,AND,020,,,,,,15,5,,,,1,,,,,,,,,,,,,,,,123,,043,,ANDORR,,,3,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,AD,AND,,,,X,,S,,X,,,,AD,AND,020,,,,,,15,5,,,,1,,,,,,,,,,,,,,,,123,,043,,ANDORR,,,3,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AD,AND,,,,X,,S,,X,,,,AD,AND,020,,,,,,15,5,,,,1,,,,,,,,,,,,,,,,123,,043,,ANDORR,,,3,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,AD,AND,,,,X,,S,,X,,,,AD,AND,020,,,,,,15,5,,,,1,,,,,,,,,,,,,,,,123,,043,,ANDORR,,,3,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,AD,AND,,,,X,,S,,X,,,,AD,AND,020,,,,,,15,5,,,,1,,,,,,,,,,,,,,,,123,,043,,ANDORR,,,3,,,ADP,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,AD,AND,,,,X,,S,,X,,,,AD,AND,020,,,,,,15,5,,,,1,,,,,,,,,,,,,,,,123,,043,,ANDORR,,,3,,,ADP,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
