mandt,land1,teleffrom,telefto,telefrm,telexfrom,telexto,mobile_sms,operation_flag,is_deleted,recordstamp
000,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AM,,374,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,AZ,,994,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,BA,,387,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,BY,,375,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,CF,,236,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,CX,,61,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,EE,,372,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,ER,,291,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GQ,,240,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,GW,,245,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,HR,,385,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KG,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KH,,855,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KP,,850,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,KZ,,7,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LA,,856,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LB,,961,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LT,,370,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
001,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
050,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
100,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
200,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
250,LV,,371,,,,,L,False,2022-01-31 20:43:39.619600+00:00
000,MD,,373,,,,,L,False,2022-01-31 20:43:39.619600+00:00
