mandt,land1,bland,fprcd,herbl,operation_flag,is_deleted,recordstamp
800,,,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,01,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,11,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,18,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,12,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,24,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,02,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,03,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,10,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,23,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,00,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,14,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,05,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,20,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,17,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,07,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,09,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,19,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,22,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,16,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,06,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,04,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,21,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,13,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AR,08,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,ST,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,W,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,K,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,V,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,NÖ,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,T,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,B,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,S,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AT,OÖ,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AU,NSW,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AU,QLD,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AU,VIC,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AU,ACT,,,I,False,2021-04-03 10:20:05.242435+00:00
800,AU,TAS,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,02,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,11,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,04,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,05,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,08,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,09,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,10,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,06,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,03,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,07,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BE,01,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,06,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,01,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,09,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,03,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,04,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,07,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,08,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,05,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BG,02,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,RS,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,MT,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,TO,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,ES,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,PB,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,BA,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,PE,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,AM,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,DF,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,RO,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,SC,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,AP,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,RN,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,MG,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,MA,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,AL,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,SP,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,AC,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,PI,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,PA,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,RR,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,RJ,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,GO,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,R1,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,PR,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,SE,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,CE,,,I,False,2021-04-03 10:20:05.242435+00:00
800,BR,MS,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CA,NN,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,BS,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,ZH,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,AG,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,GE,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,JU,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,AI,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,SZ,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,VS,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,SG,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,VD,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,LU,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,NW,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,BE,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,OW,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,GR,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,TI,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,SH,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,SO,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,UR,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,BL,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,GL,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,AR,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,TG,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,NE,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,FR,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CH,ZG,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,09,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,04,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,12,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,11,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,01,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,03,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,02,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,08,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,13,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,05,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,06,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,10,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CL,07,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,200,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,160,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,250,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,010,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,140,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,310,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,320,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,090,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,280,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,180,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,020,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,300,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,130,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,270,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,150,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,170,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,290,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,110,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,040,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,070,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,230,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,050,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,210,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,260,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,060,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,030,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,120,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,080,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,220,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,100,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,240,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CN,190,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,08,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,91,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,52,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,88,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,18,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,81,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,11,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,73,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,99,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,25,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,27,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,19,,,I,False,2021-04-03 10:20:05.242435+00:00
800,CO,94,,,I,False,2021-04-03 10:20:05.242435+00:00
