mandt,mtart,mtref,mbref,flref,numki,numke,envop,bsext,bsint,pstat,kkref,vprsv,kzvpr,vmtpo,ekalr,kzgrp,kzkfg,begru,kzprc,kzpip,prdru,aranz,wmakg,izust,ardel,kzmpn,mstae,cchis,ctype,class,chneu,vtype,vnumki,vnumke,kzrac,operation_flag,is_deleted,recordstamp
000,CONT,ROH,ROH,VERP,01,02,X,0,0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,CONT,ROH,ROH,VERP,01,02,X,0,0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,CONT,ROH,ROH,VERP,01,02,X,0,0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CONT,ROH,ROH,VERP,01,02,X,0,0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,CONT,ROH,ROH,VERP,01,02,X,0,0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,CONT,ROH,ROH,VERP,01,02,X,0,0,K,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CONT,ROH,ROH,VERP,01,02,X,0,0,K,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,ZSER,DIEN,ROH,DIEN,01,02,,2,0,KV,,V,,ZSER,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,PLM,FERT,PLM,PLM,01,02,X,0,0,ACDKQSVXZ,,,,,,,,,,,,,,,0000,,,,001,PLM,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,ZHT1,FERT,Z2,ZHTI,01,02,X,,,K,,,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,HERS,HERS,HERS,HERS,01,02,X,2,0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,HERS,HERS,HERS,HERS,01,02,X,2,0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,HERS,HERS,HERS,HERS,01,02,X,2,0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HERS,HERS,HERS,HERS,01,02,X,2,0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,HERS,HERS,HERS,HERS,01,02,X,2,0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,HERS,HERS,HERS,HERS,01,02,X,2,0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,HERS,HERS,HERS,HERS,01,02,X,2,0,CE,,,,,,,,,,,,,,,,X,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,HERS,HERS,HERS,HERS,,,X,2,0,CE,,,,,,,,,,,,,,,0000,X,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
000,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
001,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
050,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,IBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,CBAU,IBAU,ROH,ROH,01,02,,0,0,CK,,,,,,,,,,,,,,,0000,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
000,NLAG,NLAG,ROH,NLAG,01,02,,2,2,BDEKV,,,,NLAG,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
