mandt,prodh,stufe,operation_flag,is_deleted,recordstamp
100,,,D,True,2022-04-21 15:06:07.067949+00:00
100,00001,,D,True,2022-04-21 15:06:07.067949+00:00
100,0000100001,,D,True,2022-04-21 15:06:07.067949+00:00
100,000010000100000001,,D,True,2022-04-21 15:06:07.067949+00:00
100,000010000100000002,,D,True,2022-04-21 15:06:07.067949+00:00
100,0000100002,,D,True,2022-04-21 15:06:07.067949+00:00
100,000010000200000001,,D,True,2022-04-21 15:06:07.067949+00:00
100,000010000200000002,,D,True,2022-04-21 15:06:07.067949+00:00
100,000010000200000003,,D,True,2022-04-21 15:06:07.067949+00:00
100,00002,,D,True,2022-04-21 15:06:07.067949+00:00
100,0000200001,,D,True,2022-04-21 15:06:07.067949+00:00
100,000020000100000001,,D,True,2022-04-21 15:06:07.067949+00:00
100,000020000100000002,,D,True,2022-04-21 15:06:07.067949+00:00
100,0000200002,,D,True,2022-04-21 15:06:07.067949+00:00
100,000020000200000001,,D,True,2022-04-21 15:06:07.067949+00:00
100,000020000200000002,,D,True,2022-04-21 15:06:07.067949+00:00
100,0000200003,,D,True,2022-04-21 15:06:07.067949+00:00
100,000020000300000001,,D,True,2022-04-21 15:06:07.067949+00:00
100,000020000300000002,,D,True,2022-04-21 15:06:07.067949+00:00
100,1,1,I,False,2022-04-21 15:06:07.067949+00:00
100,2,1,I,False,2022-04-21 15:06:07.067949+00:00
100,3,1,I,False,2022-04-21 15:06:07.067949+00:00
100,101,2,I,False,2022-04-21 15:06:07.067949+00:00
100,102,2,I,False,2022-04-21 15:06:07.067949+00:00
100,201,2,I,False,2022-04-21 15:06:07.067949+00:00
100,202,2,I,False,2022-04-21 15:06:07.067949+00:00
100,301,2,I,False,2022-04-21 15:06:07.067949+00:00
100,302,2,I,False,2022-04-21 15:06:07.067949+00:00
100,101AA,3,I,False,2022-04-21 15:06:07.067949+00:00
100,101AB,3,I,False,2022-04-21 15:06:07.067949+00:00
100,101AC,3,I,False,2022-04-21 15:06:07.067949+00:00
100,102AD,3,I,False,2022-04-21 15:06:07.067949+00:00
100,102AE,3,I,False,2022-04-21 15:06:07.067949+00:00
100,102AF,3,I,False,2022-04-21 15:06:07.067949+00:00
100,201DF,3,I,False,2022-04-21 15:06:07.067949+00:00
100,201MP,3,I,False,2022-04-21 15:06:07.067949+00:00
100,202AB,3,I,False,2022-04-21 15:06:07.067949+00:00
100,202CR,3,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJ,3,I,False,2022-04-21 15:06:07.067949+00:00
100,301SS,3,I,False,2022-04-21 15:06:07.067949+00:00
100,301TV,3,I,False,2022-04-21 15:06:07.067949+00:00
100,302DT,3,I,False,2022-04-21 15:06:07.067949+00:00
100,302LT,3,I,False,2022-04-21 15:06:07.067949+00:00
100,101AAC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,101ACC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,102AEC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,102AFC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,301SSC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,302LTC,4,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACDD,5,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACDR,5,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACLD,5,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCCL,5,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCWP,5,I,False,2022-04-21 15:06:07.067949+00:00
100,101ACCCP,5,I,False,2022-04-21 15:06:07.067949+00:00
100,101ACCWV,5,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCLM,5,I,False,2022-04-21 15:06:07.067949+00:00
100,102ADCSL,5,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECCS,5,I,False,2022-04-21 15:06:07.067949+00:00
100,102AECSD,5,I,False,2022-04-21 15:06:07.067949+00:00
100,102AFCTB,5,I,False,2022-04-21 15:06:07.067949+00:00
100,102AFCTP,5,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCBT,5,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCIC,5,I,False,2022-04-21 15:06:07.067949+00:00
100,201DFCYG,5,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPCMT,5,I,False,2022-04-21 15:06:07.067949+00:00
100,201MPCPL,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCBR,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCHD,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202ABCWN,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCNS,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCPL,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202CRCSG,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJCMX,5,I,False,2022-04-21 15:06:07.067949+00:00
100,202FJCPR,5,I,False,2022-04-21 15:06:07.067949+00:00
100,301SSCBT,5,I,False,2022-04-21 15:06:07.067949+00:00
100,301SSCHT,5,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVCLD,5,I,False,2022-04-21 15:06:07.067949+00:00
100,301TVCPL,5,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCLN,5,I,False,2022-04-21 15:06:07.067949+00:00
100,302DTCWN,5,I,False,2022-04-21 15:06:07.067949+00:00
100,302LTCLN,5,I,False,2022-04-21 15:06:07.067949+00:00
100,302LTCWN,5,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACDDPB,6,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACDDSY,6,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACDRPB,6,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACDRSY,6,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACLDPB,6,I,False,2022-04-21 15:06:07.067949+00:00
100,101AACLDSY,6,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCCLCS,6,I,False,2022-04-21 15:06:07.067949+00:00
100,101ABCCLSY,6,I,False,2022-04-21 15:06:07.067949+00:00
