mandt,spras,prodh,vtext,operation_flag,is_deleted,recordstamp
100,D,00001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,0000100001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000010000100000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000010000100000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,0000100002,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000010000200000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000010000200000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000010000200000003,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,00002,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,0000200001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000020000100000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000020000100000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,0000200002,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000020000200000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000020000200000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,0000200003,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000020000300000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,D,000020000300000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,00001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,0000100001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000010000100000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000010000100000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,0000100002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000010000200000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000010000200000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000010000200000003,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,00002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,0000200001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000020000100000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000020000100000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,0000200002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000020000200000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000020000200000002,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,0000200003,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000020000300000001,,D,True,2022-04-21 15:06:07.299830+00:00
100,E,000020000300000002,,D,True,2022-04-21 15:06:07.299830+00:00
200,E,4000400040004000,Home Services,I,False,2021-04-15 22:50:37+00:00
200,E,5000500050002000,Prepared Meals,I,False,2021-04-15 22:50:37+00:00
200,E,5000500050007000,Ice Creams,I,False,2021-04-15 22:50:37+00:00
200,E,6000600060003000,Alcoholic Beverages,I,False,2021-04-15 22:50:37+00:00
200,E,8000800080004000,Hardware,I,False,2021-04-15 22:50:37+00:00
200,E,9000900090008000,Personal care,I,False,2021-04-15 22:50:37+00:00
200,E,9000900090009000,COVID care,I,False,2021-04-15 22:50:37+00:00
200,E,4000,Services,I,False,2021-04-16 05:11:42+00:00
200,E,5000,Prepared Goods,I,False,2021-04-16 05:11:42+00:00
200,E,6000,Drinks,I,False,2021-04-16 05:11:42+00:00
200,E,7000,Produce,I,False,2021-04-16 05:11:42+00:00
200,E,8000,Cleaning Supplies,I,False,2021-04-16 05:11:42+00:00
200,E,9000,Personal Hygiene,I,False,2021-04-16 05:11:42+00:00
200,E,5000500050005000,Cakes,I,False,2021-04-16 05:11:42+00:00
200,E,5000500050006000,Desserts,I,False,2021-04-16 05:11:42+00:00
200,E,6000600060001000,Tea,I,False,2021-04-16 05:11:42+00:00
200,E,6000600060004000,Beer,I,False,2021-04-16 05:11:42+00:00
200,E,6000600060005000,Coffee,I,False,2021-04-16 05:11:42+00:00
200,E,6000600060006000,Wine,I,False,2021-04-16 05:11:42+00:00
200,E,7000700070001000,Fruit,I,False,2021-04-16 05:11:42+00:00
