mandt,rldnr,gcurr,class,typ,trcur,lccur,rccur,occur,quant,atqnt,tab,rcopy,shkz,glsip,vortrag,dldnr,xdldnr,curt1,curt2,curt3,v2post,lctyp,fix,post,rollup,depld,appl,subappl,komp,gzledger,exit,kldnr,logsys,valutyp,gcompress,splitmethd,date_det_poper,glflex,xleading,orient_ledger,avg_rollup,xcash_ledger,operation_flag,is_deleted,recordstamp
000,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
001,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
050,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
000,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
001,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
050,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
800,3A,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,,CO,RCL,000,,,3B,,0,,,0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,3B,,A,0,X,X,X,,X,,COFIT,,X,,,,,10,30,,,,X,X,,X,CO,RCL,000,,,3A,,0,,,0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
000,8A,,,0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
001,8A,,,0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
050,8A,,,0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,8A,,,0,X,X,X,,X,,GLPCT,X,X,X,,,,10,90,,,,X,X,,,EC,PCA,,,G01,8E,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
