mandt,waers,isocd,altwr,gdatu,xprimary,operation_flag,is_deleted,recordstamp
000,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
001,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
050,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
100,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
200,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
250,UF,CLP,152,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ADP,ADP,020,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ADP,ADP,020,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ADP,ADP,020,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ADP,ADP,020,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ADP,ADP,020,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ADP,ADP,020,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AED,AED,784,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AFA,AFA,004,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AFA,AFA,004,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AFA,AFA,004,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AFA,AFA,004,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AFA,AFA,004,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AFA,AFA,004,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
050,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
100,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
200,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
250,AFN,AFN,971,,,L,False,2022-01-31 20:43:51.581515+00:00
000,ALL,ALL,008,,,L,False,2022-01-31 20:43:51.581515+00:00
001,ALL,ALL,008,,,L,False,2022-01-31 20:43:51.581515+00:00
050,ALL,ALL,008,,,L,False,2022-01-31 20:43:51.581515+00:00
100,ALL,ALL,008,,,L,False,2022-01-31 20:43:51.581515+00:00
200,ALL,ALL,008,,,L,False,2022-01-31 20:43:51.581515+00:00
250,ALL,ALL,008,,,L,False,2022-01-31 20:43:51.581515+00:00
000,AMD,AMD,051,,,L,False,2022-01-31 20:43:51.581515+00:00
001,AMD,AMD,051,,,L,False,2022-01-31 20:43:51.581515+00:00
