mandt,spras,waers,ltext,ktext,operation_flag,is_deleted,recordstamp
000,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
001,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
050,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
100,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
200,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
250,E,EUR4,European Euro,,L,False,2022-01-31 20:43:53.037378+00:00
000,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
001,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
050,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
100,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
200,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
250,D,EUR4,Europäischer Euro,,L,False,2022-01-31 20:43:53.037378+00:00
000,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
001,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
050,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
100,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
200,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
250,E,LAK,Laotian Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
000,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
001,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
050,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
100,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
200,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
250,D,LAK,Laotische Kip,Kip,L,False,2022-01-31 20:43:53.037378+00:00
000,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
001,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
050,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
100,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
200,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
250,E,LVL,Latvian Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
000,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
001,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
050,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
100,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
200,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
250,D,LVL,Lettländische Lat,Lat,L,False,2022-01-31 20:43:53.037378+00:00
000,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
001,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
050,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
100,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
200,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
250,D,MDL,Moldavische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
000,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
001,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
050,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
100,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
200,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
250,D,RON,Rumänische Lei,Lei,L,False,2022-01-31 20:43:53.037378+00:00
000,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
001,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
050,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
100,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
200,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
250,E,ALL,Albanian Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
000,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
001,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
050,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
100,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
200,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
250,D,ALL,Albanische Lek,Lek,L,False,2022-01-31 20:43:53.037378+00:00
000,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
001,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
050,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
100,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
200,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
250,E,RON,Romanian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
000,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
001,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
050,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
100,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
200,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
250,E,MDL,Moldavian Leu,Leu,L,False,2022-01-31 20:43:53.037378+00:00
000,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
001,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
050,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
100,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
200,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
250,E,BGN,Bulgarian Lev,Lev,L,False,2022-01-31 20:43:53.037378+00:00
000,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
001,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
050,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
100,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
200,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
250,D,BGN,Bulgarische Lew,Lew,L,False,2022-01-31 20:43:53.037378+00:00
000,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
001,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
050,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
100,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
200,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
250,E,KGS,Kyrgyzstan Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
000,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
001,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
050,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
100,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
200,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
250,D,KGS,Kirgisische Som,Som,L,False,2022-01-31 20:43:53.037378+00:00
000,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
001,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
050,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
100,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
200,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
250,D,UZS,Uzbekistan Sum,Sum,L,False,2022-01-31 20:43:53.037378+00:00
000,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
001,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
050,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
100,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
200,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
250,E,JPY,Japanese Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
000,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
001,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
050,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
100,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
200,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
250,F,JPY,Yen japonais,Yen,L,False,2022-01-31 20:43:53.037378+00:00
000,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
001,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
050,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
100,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
200,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
250,D,JPY,Japanische Yen,Yen,L,False,2022-01-31 20:43:53.037378+00:00
000,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
001,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
050,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
100,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
200,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
250,E,THB,Thailand Baht,Baht,L,False,2022-01-31 20:43:53.037378+00:00
000,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
001,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
050,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
100,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
200,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
250,D,THB,Thailand Bhat,Bhat,L,False,2022-01-31 20:43:53.037378+00:00
